Time (s)	Load (N)	Displacement (mm)
25,004	-4	-0,965
25,028	-3,5	-0,845
25,052	-3	-0,725
25,076	-2	-0,605
25,1	-1,5	-0,485
25,124	-1	-0,365
25,148	-0,5	-0,252
25,172	0	-0,173
25,196	0	-0,119
25,22	0,5	-0,082
25,244	0,5	-0,056
25,268	1	-0,039
25,292	1,5	-0,027
25,316	1,5	-0,018
25,34	1,5	-0,013
25,364	1,5	-0,009
25,388	1,5	-0,006
25,412	1,5	-0,004
25,436	1,5	-0,002
25,46	1,5	-0,002
25,484	1,5	-0,001
25,508	1,5	-0,001
25,532	1,5	0
25,556	1	-0,018
25,58	1,5	-0,152
25,604	1	-0,276
25,628	0,5	-0,398
25,652	0	-0,518
25,676	-0,5	-0,638
25,7	-1	-0,758
25,724	-1,5	-0,878
25,748	-2,5	-0,993
25,772	-3	-1,118
25,796	-4	-1,238
25,82	-4	-1,358
25,844	-4,5	-1,478
25,868	-5	-1,598
25,892	-6	-1,719
25,916	-6,5	-1,838
25,94	-7	-1,959
25,964	-7,5	-2,079
25,989	-8	-2,198
26,012	-9,5	-2,318
26,036	-10	-2,438
26,06	-11	-2,558
26,084	-11,5	-2,678
26,108	-12	-2,798
26,132	-13,5	-2,918
26,156	-14,5	-3,038
26,18	-15	-3,158
26,204	-15,5	-3,266
26,228	-16	-3,34
26,252	-17,5	-3,39
